X1,X2,y
0,0,8.79475794589957
1,0,12.2577284738319
2,0,7.63015752550478
3,0,13.0828873709058
4,0,8.42372876311863
5,0,12.7843104160454
6,0,15.0303199570922
7,0,12.8287475600411
8,0,10.1091787753155
9,0,13.7053061654723
10,0,14.2819502250242
11,0,18.5669135544621
12,0,14.1701869245171
13,0,14.5875639379679
14,0,14.7777930569169
15,0,14.2629342399963
16,0,20.2653480160841
17,0,13.7015945411912
18,0,17.6046099778934
19,0,17.9769027132008
20,0,22.4465070240672
21,0,19.044390065326
22,0,13.8913703238531
23,0,16.8188877786414
24,0,21.7303532518607
25,0,21.1092034824284
26,0,22.4649242602579
27,0,27.0921227166818
28,0,19.0168494217345
29,0,25.7577148819362
30,0,24.1788794261669
31,0,30.0312465023803
32,0,20.682260497179
33,0,33.3566903715581
34,0,26.2479525395655
35,0,25.9468414972618
36,0,26.0950810318709
37,0,23.3538218009831
38,0,31.918948620224
39,0,31.5699637911326
40,0,28.064734357013
41,0,35.3075431781102
42,0,35.9052263473699
43,0,32.4771282549654
44,0,34.2288642922621
45,0,33.9135131150873
46,0,34.4248225813621
47,0,30.8062054000323
48,0,30.5561332423127
49,0,33.9118967838369
50,0,36.1432697903425
51,0,37.8713875038099
52,0,37.857149554324
53,0,33.6997098776322
54,0,33.0418810649206
55,0,35.9410038260347
56,0,34.6167944763582
57,0,42.6168048098252
58,0,39.068217684983
59,0,38.220808336391
60,0,41.2885085441382
61,0,36.9459375729146
62,0,43.2500832625811
63,0,42.6389338959629
64,0,48.2336038857135
65,0,42.2838005783132
66,0,40.4199379010702
67,0,39.9496519238001
68,0,43.8234104825652
69,0,50.1530429674504
70,0,47.0972001637995
71,0,46.2042929504134
72,0,44.8033391753953
73,0,51.1530067043395
74,0,43.4344869669772
75,0,49.9509174132483
76,0,46.7021208658356
77,0,49.6051042958681
78,0,49.5504860838114
79,0,44.806018609758
80,0,41.3210846364995
81,0,51.0690641715753
82,0,49.2727348879659
83,0,50.5898621684091
84,0,54.5545377255495
85,0,54.2842086679002
86,0,54.9873800531851
87,0,54.1797169866735
88,0,57.6112476357799
89,0,51.3422226156272
90,0,54.4109629196041
91,0,52.5800037061868
92,0,55.4984920077118
93,0,54.9969451048331
94,0,57.6165525091186
95,0,64.4218557087514
96,0,51.5800128225429
97,0,59.3277707525587
98,0,55.5302245310017
99,0,55.1734671955852
100,0,55.371258535762
101,0,63.6481790273774
102,0,63.5456298488275
103,0,61.0746580204164
104,0,62.532851849399
105,0,62.8898516940999
106,0,61.1925338654967
107,0,64.3946950069762
108,0,66.5547154351039
109,0,64.0296602851203
110,0,63.9606275876214
111,0,63.5369932448629
112,0,64.8585917960632
113,0,70.2355404108098
114,0,70.3642163623513
115,0,65.9531405787107
116,0,67.07994144944
117,0,65.2005229726372
118,0,71.5084137788797
119,0,69.822858074543
120,0,66.0763028494593
121,0,75.0357301104828
122,0,67.2680513360838
123,0,74.7075061822879
124,0,70.7018748907802
125,0,74.4369173549818
126,0,77.8309512782507
127,0,71.6476127750222
128,0,73.731132280711
129,0,70.628820164519
130,0,71.2074934322047
131,0,76.1176022086124
132,0,76.9944114521747
133,0,73.3846556826949
134,0,74.1147485465143
135,0,72.1119344257994
136,0,83.0537160403544
137,0,79.1301484099546
138,0,73.7214158105178
139,0,80.9266454039162
140,0,78.254999622559
141,0,77.5110010806714
142,0,74.779673730776
143,0,81.7334608773656
144,0,83.8175708966417
145,0,83.250379185051
146,0,81.3860548666514
147,0,81.3944241905243
148,0,82.9422507548395
149,0,81.5721985684871
150,0,85.6586494692636
151,0,87.7975046818305
152,0,86.9306215460906
153,0,84.2356528327351
154,0,85.0774464113973
155,0,85.7231976487191
156,0,91.2006427148492
157,0,87.8820639620515
158,0,85.9781838999029
159,0,88.2125762050825
160,0,86.0470546956271
161,0,89.3391789472174
162,0,90.8890501767457
163,0,88.759466459825
164,0,85.4987107735592
165,0,93.5694354516898
166,0,90.15410788811
167,0,91.218903188694
168,0,93.1969700396992
169,0,92.0951465784315
170,0,92.7507955469202
171,0,93.7308817933396
172,0,92.9098280386507
173,0,94.620227698183
174,0,93.8826490200068
175,0,101.682362339722
176,0,100.140182708741
177,0,99.4409258499637
178,0,94.9697568326732
179,0,100.305495522596
180,0,99.3022482985517
181,0,100.050954539901
182,0,102.717135980497
183,0,105.273551590938
184,0,103.441754008493
185,0,101.159077446409
186,0,102.726089300184
187,0,106.610530775231
188,0,106.012565899923
189,0,100.869813511157
190,0,104.397681823352
191,0,104.804518655141
192,0,100.723445387907
193,0,112.963778346963
194,0,110.872122842272
195,0,105.721636285859
196,0,111.448633805109
197,0,109.001993619345
198,0,110.678448725941
199,0,104.152230281765
0,1,11.113989853062
1,1,14.3543591002163
2,1,12.9601094694579
3,1,14.7318279055924
4,1,8.56067343017713
5,1,14.832594898368
6,1,21.1487824943044
7,1,11.5847805388332
8,1,14.7181433826903
9,1,15.1583475606411
10,1,18.4471078962078
11,1,18.1683789895799
12,1,23.4266512407952
13,1,17.9508257699872
14,1,21.7568441769635
15,1,19.4555918483261
16,1,21.5033028165921
17,1,25.7043158824577
18,1,17.5234095789132
19,1,23.5433343180315
20,1,21.194620268486
21,1,13.439803566195
22,1,20.8832637632702
23,1,27.5819467201322
24,1,30.4598885954504
25,1,28.1310886025188
26,1,26.9767363744013
27,1,24.3066204145946
28,1,23.4760158386428
29,1,30.0428115085115
30,1,23.4615558658842
31,1,26.5254333158745
32,1,31.099774356038
33,1,32.3751758256411
34,1,23.5469973861006
35,1,33.1775162100509
36,1,25.9220293397696
37,1,36.5893783171699
38,1,36.6025379400053
39,1,32.0103601522702
40,1,36.4631402657467
41,1,36.0497844322195
42,1,32.1421128358744
43,1,38.0268741278718
44,1,36.7231731042865
45,1,30.931419916422
46,1,34.1869079655651
47,1,30.9888119044521
48,1,40.0165595378405
49,1,32.7745566512173
50,1,39.2881200108623
51,1,39.1425881110867
52,1,34.6559300251258
53,1,45.4673974945077
54,1,41.6189027867573
55,1,41.697465347304
56,1,40.9026818571724
57,1,42.2171483250713
58,1,39.2666450094379
59,1,39.6335637668989
60,1,40.2266801149022
61,1,39.1978153085112
62,1,47.9208741434121
63,1,44.2557243630855
64,1,41.8004359932562
65,1,47.7790927950029
66,1,45.1895373302334
67,1,46.2089602385282
68,1,45.4875998840101
69,1,45.0481121276009
70,1,53.1563066272504
71,1,52.2484197110795
72,1,42.861511729525
73,1,52.9463645479242
74,1,52.6051604704755
